Date,Department,Admissions,Emergency_Cases,ICU_Beds_Total,ICU_Beds_Occupied,General_Beds_Total,General_Beds_Occupied,Doctors_On_Duty,Nurses_On_Duty,Ambulances_Available,Staff_Required,Bed_Occupancy_Percentage
2022-01-15,Neurology,58,19,50,22,250,121,9,29,6,38,47.67
2022-01-15,Orthopedics,56,12,50,24,250,107,9,28,4,37,43.67
2022-01-15,Pediatrics,65,22,50,17,250,117,10,32,4,42,44.67
2022-01-15,Oncology,44,14,50,16,250,90,7,22,5,29,35.33
2022-01-16,Emergency,90,90,50,24,250,180,15,45,4,60,68.0
2022-01-16,Cardiology,62,20,50,22,250,131,10,31,6,41,51.0
2022-01-16,Neurology,54,17,50,16,250,106,9,27,4,36,40.67
2022-01-16,Orthopedics,60,17,50,22,250,117,10,30,4,40,46.33
2022-01-16,Pediatrics,65,21,50,16,250,117,10,32,4,42,44.33
2022-01-16,Oncology,38,10,50,15,250,80,6,19,6,25,31.67
2022-01-17,Emergency,88,88,50,34,250,189,14,44,5,58,74.33
2022-01-17,Cardiology,49,17,50,17,250,89,8,24,6,32,35.33
2022-01-17,Neurology,43,9,50,12,250,82,7,21,6,28,31.33
2022-01-17,Orthopedics,56,14,50,20,250,101,9,28,4,37,40.33
2022-01-17,Pediatrics,59,17,50,15,250,127,9,29,5,38,47.33
2022-01-17,Oncology,37,8,50,10,250,80,6,18,6,24,30.0
2022-01-18,Emergency,87,87,50,31,250,177,14,43,6,57,69.33
2022-01-18,Cardiology,51,12,50,21,250,98,8,25,4,33,39.67
2022-01-18,Neurology,50,15,50,17,250,103,8,25,4,33,40.0
2022-01-18,Orthopedics,58,17,50,20,250,126,9,29,5,38,48.67
2022-01-18,Pediatrics,54,16,50,18,250,111,9,27,6,36,43.0
2022-01-18,Oncology,33,5,50,8,250,80,5,16,5,21,29.33
2022-01-19,Emergency,87,87,50,36,250,185,14,43,6,57,73.67
2022-01-19,Cardiology,54,15,50,18,250,109,9,27,5,36,42.33
2022-01-19,Neurology,48,13,50,19,250,84,8,24,5,32,34.33
2022-01-19,Orthopedics,60,18,50,25,250,120,10,30,5,40,48.33
2022-01-19,Pediatrics,60,17,50,20,250,112,10,30,6,40,44.0
2022-01-19,Oncology,36,12,50,15,250,80,6,18,6,24,31.67
2022-01-20,Emergency,87,87,50,31,250,170,14,43,4,57,67.0
2022-01-20,Cardiology,46,13,50,10,250,80,7,23,6,30,30.0
2022-01-20,Neurology,51,17,50,15,250,86,8,25,5,33,33.67
2022-01-20,Orthopedics,48,19,50,18,250,90,8,24,5,32,36.0
2022-01-20,Pediatrics,60,14,50,20,250,120,10,30,5,40,46.67
2022-01-20,Oncology,43,13,50,17,250,80,7,21,6,28,32.33
2022-01-21,Emergency,92,92,50,37,250,174,15,46,6,61,70.33
2022-01-21,Cardiology,58,17,50,24,250,111,9,29,4,38,45.0
2022-01-21,Neurology,52,15,50,18,250,119,8,26,4,34,45.67
2022-01-21,Orthopedics,46,12,50,17,250,80,7,23,6,30,32.33
2022-01-21,Pediatrics,61,17,50,24,250,98,10,30,6,40,40.67
2022-01-21,Oncology,33,8,50,12,250,80,5,16,6,21,30.67
2022-01-22,Emergency,95,95,50,32,250,192,15,47,4,62,74.67
2022-01-22,Cardiology,64,20,50,23,250,133,10,32,5,42,52.0
2022-01-22,Neurology,55,20,50,18,250,106,9,27,6,36,41.33
2022-01-22,Orthopedics,54,13,50,16,250,107,9,27,5,36,41.0
2022-01-22,Pediatrics,68,20,50,21,250,145,11,34,6,45,55.33
2022-01-22,Oncology,48,13,50,18,250,97,8,24,6,32,38.33
2022-01-23,Emergency,91,91,50,31,250,184,15,45,6,60,71.67
2022-01-23,Cardiology,62,15,50,25,250,136,10,31,4,41,53.67
2022-01-23,Neurology,53,16,50,11,250,94,8,26,5,34,35.0
2022-01-23,Orthopedics,54,17,50,24,250,96,9,27,4,36,40.0
2022-01-23,Pediatrics,63,19,50,26,250,113,10,31,6,41,46.33
2022-01-23,Oncology,56,13,50,15,250,107,9,28,6,37,40.67
2022-01-24,Emergency,86,86,50,32,250,174,14,43,6,57,68.67
2022-01-24,Cardiology,56,15,50,23,250,105,9,28,4,37,42.67
2022-01-24,Neurology,44,14,50,17,250,92,7,22,6,29,36.33
2022-01-24,Orthopedics,53,13,50,19,250,91,8,26,5,34,36.67
2022-01-24,Pediatrics,60,16,50,17,250,127,10,30,5,40,48.0
2022-01-24,Oncology,38,14,50,11,250,80,6,19,6,25,30.33
2022-01-25,Emergency,90,90,50,29,250,184,15,45,4,60,71.0
2022-01-25,Cardiology,52,18,50,15,250,80,8,26,5,34,31.67
2022-01-25,Neurology,53,20,50,17,250,86,8,26,5,34,34.33
2022-01-25,Orthopedics,50,14,50,14,250,105,8,25,5,33,39.67
2022-01-25,Pediatrics,61,15,50,23,250,142,10,30,5,40,55.0
2022-01-25,Oncology,39,11,50,15,250,80,6,19,6,25,31.67
2022-01-26,Emergency,89,89,50,29,250,196,14,44,5,58,75.0
2022-01-26,Cardiology,60,15,50,22,250,123,10,30,6,40,48.33
2022-01-26,Neurology,43,13,50,18,250,82,7,21,4,28,33.33
2022-01-26,Orthopedics,51,13,50,16,250,101,8,25,4,33,39.0
2022-01-26,Pediatrics,52,12,50,19,250,98,8,26,4,34,39.0
2022-01-26,Oncology,44,13,50,13,250,80,7,22,4,29,31.0
2022-01-27,Emergency,92,92,50,33,250,207,15,46,6,61,80.0
2022-01-27,Cardiology,56,16,50,22,250,118,9,28,5,37,46.67
2022-01-27,Neurology,52,14,50,16,250,99,8,26,6,34,38.33
2022-01-27,Orthopedics,57,16,50,18,250,117,9,28,5,37,45.0
2022-01-27,Pediatrics,58,19,50,13,250,107,9,29,6,38,40.0
2022-01-27,Oncology,32,7,50,8,250,80,5,16,6,21,29.33
2022-01-28,Emergency,94,94,50,32,250,177,15,47,5,62,69.67
2022-01-28,Cardiology,58,15,50,17,250,121,9,29,5,38,46.0
2022-01-28,Neurology,46,15,50,16,250,99,7,23,5,30,38.33
2022-01-28,Orthopedics,51,14,50,14,250,86,8,25,4,33,33.33
2022-01-28,Pediatrics,62,17,50,18,250,123,10,31,6,41,47.0
2022-01-28,Oncology,32,6,50,8,250,80,5,16,6,21,29.33
2022-01-29,Emergency,98,98,50,36,250,184,16,49,5,65,73.33
2022-01-29,Cardiology,64,19,50,24,250,126,10,32,5,42,50.0
2022-01-29,Neurology,56,17,50,21,250,120,9,28,6,37,47.0
2022-01-29,Orthopedics,50,17,50,21,250,89,8,25,6,33,36.67
2022-01-29,Pediatrics,60,18,50,23,250,137,10,30,5,40,53.33
2022-01-29,Oncology,48,12,50,16,250,93,8,24,6,32,36.33
2022-01-30,Emergency,93,93,50,38,250,203,15,46,6,61,80.33
2022-01-30,Cardiology,59,19,50,22,250,122,9,29,5,38,48.0
2022-01-30,Neurology,60,19,50,23,250,126,10,30,4,40,49.67
2022-01-30,Orthopedics,52,15,50,16,250,91,8,26,6,34,35.67
2022-01-30,Pediatrics,74,25,50,29,250,150,12,37,6,49,59.67
2022-01-30,Oncology,49,15,50,13,250,101,8,24,5,32,38.0
2022-01-31,Emergency,90,90,50,27,250,179,15,45,4,60,68.67
2022-01-31,Cardiology,62,20,50,21,250,126,10,31,6,41,49.0
2022-01-31,Neurology,48,13,50,13,250,94,8,24,4,32,35.67
2022-01-31,Orthopedics,47,15,50,17,250,80,7,23,6,30,32.33
2022-01-31,Pediatrics,59,19,50,23,250,128,9,29,4,38,50.33
2022-01-31,Oncology,38,9,50,14,250,80,6,19,6,25,31.33
2022-02-01,Emergency,95,95,50,36,250,188,15,47,4,62,74.67
2022-02-01,Cardiology,53,16,50,17,250,100,8,26,4,34,39.0
2022-02-01,Neurology,49,13,50,15,250,101,8,24,5,32,38.67
2022-02-01,Orthopedics,53,16,50,15,250,101,8,26,5,34,38.67
2022-02-01,Pediatrics,65,17,50,16,250,111,10,32,5,42,42.33
2022-02-01,Oncology,42,12,50,18,250,80,7,21,4,28,32.67
2022-02-02,Emergency,91,91,50,36,250,170,15,45,4,60,68.67
2022-02-02,Cardiology,52,13,50,17,250,118,8,26,4,34,45.0
2022-02-02,Neurology,55,15,50,24,250,110,9,27,4,36,44.67
2022-02-02,Orthopedics,52,15,50,19,250,135,8,26,4,34,51.33
2022-02-02,Pediatrics,63,17,50,24,250,122,10,31,5,41,48.67
2022-02-02,Oncology,46,13,50,16,250,92,7,23,5,30,36.0
2022-02-03,Emergency,91,91,50,33,250,162,15,45,6,60,65.0
2022-02-03,Cardiology,51,12,50,17,250,102,8,25,4,33,39.67
2022-02-03,Neurology,45,15,50,11,250,85,7,22,6,29,32.0
2022-02-03,Orthopedics,52,16,50,15,250,111,8,26,5,34,42.0
2022-02-03,Pediatrics,60,14,50,15,250,119,10,30,6,40,44.67
2022-02-03,Oncology,42,12,50,15,250,93,7,21,6,28,36.0
2022-02-04,Emergency,86,86,50,26,250,161,14,43,5,57,62.33
2022-02-04,Cardiology,60,17,50,13,250,102,10,30,6,40,38.33
2022-02-04,Neurology,45,12,50,14,250,90,7,22,5,29,34.67
2022-02-04,Orthopedics,56,15,50,17,250,116,9,28,6,37,44.33
2022-02-04,Pediatrics,54,16,50,19,250,106,9,27,6,36,41.67
2022-02-04,Oncology,40,16,50,13,250,80,6,20,6,26,31.0
2022-02-05,Emergency,99,99,50,31,250,190,16,49,5,65,73.67
2022-02-05,Cardiology,66,18,50,26,250,143,11,33,5,44,56.33
2022-02-05,Neurology,62,19,50,25,250,105,10,31,6,41,43.33
2022-02-05,Orthopedics,57,17,50,18,250,112,9,28,6,37,43.33
2022-02-05,Pediatrics,76,22,50,27,250,149,12,38,5,50,58.67
2022-02-05,Oncology,50,15,50,20,250,116,8,25,6,33,45.33
2022-02-06,Emergency,100,100,50,36,250,188,16,50,6,66,74.67
2022-02-06,Cardiology,67,21,50,24,250,142,11,33,6,44,55.33
2022-02-06,Neurology,58,19,50,21,250,112,9,29,5,38,44.33
2022-02-06,Orthopedics,49,15,50,8,250,80,8,24,6,32,29.33
2022-02-06,Pediatrics,70,21,50,21,250,132,11,35,4,46,51.0
2022-02-06,Oncology,49,19,50,17,250,102,8,24,5,32,39.67
2022-02-07,Emergency,97,97,50,34,250,183,16,48,6,64,72.33
2022-02-07,Cardiology,55,13,50,18,250,102,9,27,5,36,40.0
2022-02-07,Neurology,52,15,50,17,250,102,8,26,5,34,39.67
2022-02-07,Orthopedics,55,14,50,16,250,121,9,27,5,36,45.67
2022-02-07,Pediatrics,59,14,50,21,250,122,9,29,5,38,47.67
2022-02-07,Oncology,43,14,50,16,250,92,7,21,5,28,36.0
2022-02-08,Emergency,85,85,50,30,250,166,14,42,4,56,65.33
2022-02-08,Cardiology,59,20,50,26,250,131,9,29,5,38,52.33
2022-02-08,Neurology,48,15,50,19,250,97,8,24,4,32,38.67
2022-02-08,Orthopedics,56,16,50,17,250,107,9,28,4,37,41.33
2022-02-08,Pediatrics,63,18,50,23,250,132,10,31,6,41,51.67
2022-02-08,Oncology,46,14,50,12,250,106,7,23,5,30,39.33
2022-02-09,Emergency,89,89,50,26,250,167,14,44,4,58,64.33
2022-02-09,Cardiology,56,16,50,18,250,118,9,28,4,37,45.33
2022-02-09,Neurology,50,15,50,18,250,106,8,25,5,33,41.33
2022-02-09,Orthopedics,51,10,50,17,250,101,8,25,4,33,39.33
2022-02-09,Pediatrics,65,21,50,23,250,124,10,32,5,42,49.0
2022-02-09,Oncology,41,12,50,17,250,80,6,20,6,26,32.33
2022-02-10,Emergency,94,94,50,34,250,178,15,47,4,62,70.67
2022-02-10,Cardiology,59,17,50,18,250,109,9,29,5,38,42.33
2022-02-10,Neurology,47,15,50,13,250,98,7,23,6,30,37.0
2022-02-10,Orthopedics,52,15,50,25,250,90,8,26,4,34,38.33
2022-02-10,Pediatrics,67,20,50,24,250,135,11,33,5,44,53.0
2022-02-10,Oncology,42,15,50,13,250,95,7,21,5,28,36.0
2022-02-11,Emergency,89,89,50,30,250,167,14,44,5,58,65.67
2022-02-11,Cardiology,62,18,50,21,250,112,10,31,4,41,44.33
2022-02-11,Neurology,48,11,50,14,250,98,8,24,6,32,37.33
2022-02-11,Orthopedics,64,18,50,26,250,130,10,32,5,42,52.0
2022-02-11,Pediatrics,61,19,50,21,250,123,10,30,6,40,48.0
2022-02-11,Oncology,38,8,50,15,250,80,6,19,5,25,31.67
2022-02-12,Emergency,97,97,50,33,250,201,16,48,4,64,78.0
2022-02-12,Cardiology,62,21,50,26,250,128,10,31,5,41,51.33
2022-02-12,Neurology,61,20,50,24,250,128,10,30,6,40,50.67
2022-02-12,Orthopedics,63,16,50,24,250,112,10,31,6,41,45.33
2022-02-12,Pediatrics,66,22,50,25,250,146,11,33,4,44,57.0
2022-02-12,Oncology,47,13,50,16,250,94,7,23,4,30,36.67
2022-02-13,Emergency,104,104,50,35,250,211,17,52,6,69,82.0
2022-02-13,Cardiology,66,19,50,20,250,129,11,33,6,44,49.67
2022-02-13,Neurology,57,16,50,25,250,113,9,28,6,37,46.0
2022-02-13,Orthopedics,53,14,50,17,250,99,8,26,6,34,38.67
2022-02-13,Pediatrics,75,22,50,30,250,150,12,37,6,49,60.0
2022-02-13,Oncology,51,15,50,23,250,80,8,25,4,33,34.33
2022-02-14,Emergency,83,83,50,27,250,166,13,41,4,54,64.33
2022-02-14,Cardiology,58,16,50,23,250,126,9,29,6,38,49.67
2022-02-14,Neurology,50,16,50,18,250,94,8,25,6,33,37.33
2022-02-14,Orthopedics,54,16,50,23,250,83,9,27,5,36,35.33
2022-02-14,Pediatrics,56,14,50,18,250,109,9,28,6,37,42.33
2022-02-14,Oncology,40,10,50,21,250,98,6,20,4,26,39.67
2022-02-15,Emergency,90,90,50,30,250,168,15,45,5,60,66.0
2022-02-15,Cardiology,56,14,50,19,250,95,9,28,5,37,38.0
2022-02-15,Neurology,47,14,50,17,250,98,7,23,6,30,38.33
2022-02-15,Orthopedics,57,15,50,21,250,113,9,28,6,37,44.67
2022-02-15,Pediatrics,56,16,50,20,250,118,9,28,4,37,46.0
2022-02-15,Oncology,50,17,50,16,250,107,8,25,4,33,41.0
2022-02-16,Emergency,99,99,50,40,250,185,16,49,6,65,75.0
2022-02-16,Cardiology,63,16,50,18,250,121,10,31,4,41,46.33
2022-02-16,Neurology,51,15,50,15,250,95,8,25,5,33,36.67
2022-02-16,Orthopedics,50,19,50,18,250,108,8,25,5,33,42.0
2022-02-16,Pediatrics,60,17,50,18,250,93,10,30,4,40,37.0
2022-02-16,Oncology,36,6,50,9,250,85,6,18,6,24,31.33
2022-02-17,Emergency,92,92,50,36,250,188,15,46,6,61,74.67
2022-02-17,Cardiology,53,16,50,20,250,100,8,26,4,34,40.0
2022-02-17,Neurology,52,16,50,16,250,92,8,26,6,34,36.0
2022-02-17,Orthopedics,54,16,50,16,250,108,9,27,5,36,41.33
2022-02-17,Pediatrics,64,20,50,27,250,140,10,32,6,42,55.67
2022-02-17,Oncology,51,14,50,20,250,102,8,25,5,33,40.67
2022-02-18,Emergency,90,90,50,26,250,178,15,45,4,60,68.0
2022-02-18,Cardiology,61,21,50,18,250,125,10,30,6,40,47.67
2022-02-18,Neurology,47,12,50,18,250,93,7,23,5,30,37.0
2022-02-18,Orthopedics,52,17,50,18,250,111,8,26,6,34,43.0
2022-02-18,Pediatrics,60,17,50,20,250,111,10,30,4,40,43.67
2022-02-18,Oncology,47,15,50,21,250,108,7,23,4,30,43.0
2022-02-19,Emergency,99,99,50,35,250,191,16,49,4,65,75.33
2022-02-19,Cardiology,63,22,50,23,250,123,10,31,6,41,48.67
2022-02-19,Neurology,63,14,50,16,250,133,10,31,5,41,49.67
2022-02-19,Orthopedics,63,16,50,21,250,146,10,31,6,41,55.67
2022-02-19,Pediatrics,73,22,50,24,250,142,12,36,6,48,55.33
2022-02-19,Oncology,53,17,50,13,250,99,8,26,5,34,37.33
2022-02-20,Emergency,96,96,50,30,250,192,16,48,5,64,74.0
2022-02-20,Cardiology,55,17,50,21,250,107,9,27,5,36,42.67
2022-02-20,Neurology,48,12,50,20,250,80,8,24,6,32,33.33
2022-02-20,Orthopedics,57,18,50,17,250,118,9,28,5,37,45.0
2022-02-20,Pediatrics,72,25,50,24,250,147,12,36,5,48,57.0
2022-02-20,Oncology,57,15,50,18,250,113,9,28,5,37,43.67
2022-02-21,Emergency,86,86,50,30,250,181,14,43,4,57,70.33
2022-02-21,Cardiology,51,15,50,20,250,83,8,25,5,33,34.33
2022-02-21,Neurology,46,15,50,16,250,96,7,23,5,30,37.33
2022-02-21,Orthopedics,56,18,50,27,250,109,9,28,4,37,45.33
2022-02-21,Pediatrics,59,18,50,21,250,112,9,29,5,38,44.33
2022-02-21,Oncology,54,16,50,16,250,117,9,27,4,36,44.33
2022-02-22,Emergency,92,92,50,31,250,189,15,46,4,61,73.33
2022-02-22,Cardiology,59,21,50,22,250,114,9,29,4,38,45.33
2022-02-22,Neurology,48,13,50,16,250,92,8,24,4,32,36.0
2022-02-22,Orthopedics,47,15,50,15,250,97,7,23,6,30,37.33
2022-02-22,Pediatrics,58,20,50,24,250,125,9,29,5,38,49.67
2022-02-22,Oncology,48,15,50,11,250,95,8,24,4,32,35.33
2022-02-23,Emergency,94,94,50,34,250,189,15,47,4,62,74.33
2022-02-23,Cardiology,63,21,50,13,250,122,10,31,4,41,45.0
2022-02-23,Neurology,50,11,50,17,250,112,8,25,4,33,43.0
2022-02-23,Orthopedics,56,14,50,17,250,126,9,28,6,37,47.67
2022-02-23,Pediatrics,60,18,50,15,250,138,10,30,4,40,51.0
2022-02-23,Oncology,44,14,50,11,250,99,7,22,6,29,36.67
2022-02-24,Emergency,91,91,50,31,250,177,15,45,6,60,69.33
2022-02-24,Cardiology,60,18,50,22,250,119,10,30,6,40,47.0
2022-02-24,Neurology,53,15,50,25,250,90,8,26,5,34,38.33
2022-02-24,Orthopedics,60,16,50,27,250,129,10,30,4,40,52.0
2022-02-24,Pediatrics,66,19,50,22,250,129,11,33,5,44,50.33
2022-02-24,Oncology,50,15,50,14,250,108,8,25,6,33,40.67
2022-02-25,Emergency,96,96,50,35,250,199,16,48,4,64,78.0
2022-02-25,Cardiology,54,14,50,13,250,110,9,27,4,36,41.0
2022-02-25,Neurology,50,14,50,8,250,87,8,25,5,33,31.67
2022-02-25,Orthopedics,52,16,50,14,250,118,8,26,5,34,44.0
2022-02-25,Pediatrics,62,19,50,28,250,139,10,31,5,41,55.67
2022-02-25,Oncology,42,11,50,16,250,82,7,21,4,28,32.67
2022-02-26,Emergency,99,99,50,39,250,196,16,49,6,65,78.33
2022-02-26,Cardiology,66,23,50,24,250,141,11,33,4,44,55.0
2022-02-26,Neurology,56,15,50,20,250,121,9,28,5,37,47.0
2022-02-26,Orthopedics,58,14,50,16,250,98,9,29,5,38,38.0
2022-02-26,Pediatrics,71,23,50,24,250,119,11,35,6,46,47.67
2022-02-26,Oncology,52,19,50,13,250,100,8,26,4,34,37.67
2022-02-27,Emergency,108,108,50,39,250,221,18,54,6,72,86.67
2022-02-27,Cardiology,67,21,50,21,250,142,11,33,4,44,54.33
2022-02-27,Neurology,53,16,50,19,250,99,8,26,5,34,39.33
2022-02-27,Orthopedics,60,15,50,19,250,108,10,30,6,40,42.33
2022-02-27,Pediatrics,72,19,50,27,250,132,12,36,5,48,53.0
2022-02-27,Oncology,50,17,50,18,250,97,8,25,4,33,38.33
2022-02-28,Emergency,95,95,50,26,250,189,15,47,6,62,71.67
2022-02-28,Cardiology,59,17,50,22,250,126,9,29,6,38,49.33
2022-02-28,Neurology,43,9,50,15,250,80,7,21,5,28,31.67
2022-02-28,Orthopedics,54,12,50,15,250,80,9,27,5,36,31.67
2022-02-28,Pediatrics,62,18,50,20,250,134,10,31,4,41,51.33
2022-02-28,Oncology,44,8,50,17,250,93,7,22,6,29,36.67
2022-03-01,Emergency,79,79,50,30,250,146,13,39,4,52,58.67
2022-03-01,Cardiology,39,13,50,8,250,80,6,19,6,25,29.33
2022-03-01,Neurology,42,12,50,17,250,86,7,21,4,28,34.33
2022-03-01,Orthopedics,46,13,50,10,250,83,7,23,6,30,31.0
2022-03-01,Pediatrics,50,15,50,12,250,92,8,25,5,33,34.67
2022-03-01,Oncology,29,5,50,8,250,80,5,15,4,20,29.33
2022-03-02,Emergency,81,81,50,30,250,160,13,40,4,53,63.33
2022-03-02,Cardiology,44,11,50,11,250,80,7,22,4,29,30.33
2022-03-02,Neurology,34,7,50,12,250,80,5,17,4,22,30.67
2022-03-02,Orthopedics,40,11,50,15,250,80,6,20,5,26,31.67
2022-03-02,Pediatrics,42,10,50,14,250,94,7,21,5,28,36.0
2022-03-02,Oncology,32,11,50,10,250,80,5,16,4,21,30.0
2022-03-03,Emergency,75,75,50,25,250,133,12,37,6,49,52.67
2022-03-03,Cardiology,47,12,50,15,250,80,7,23,5,30,31.67
2022-03-03,Neurology,31,8,50,8,250,80,5,15,6,20,29.33
2022-03-03,Orthopedics,42,13,50,19,250,80,7,21,5,28,33.0
2022-03-03,Pediatrics,48,16,50,20,250,81,8,24,6,32,33.67
2022-03-03,Oncology,36,11,50,13,250,80,6,18,6,24,31.0
2022-03-04,Emergency,77,77,50,27,250,151,12,38,6,50,59.33
